,MYG012_UD 100.0(Hz) unit:(gal)
234,0.011286312592922343
235,0.017626522088328045
236,0.04298736006992954
237,0.029672920129591773
238,0.009384249744300632
239,0.02460075253326721
240,0.028404878230510633
241,-0.0013941063978819557
242,0.0005079564507397549
243,0.03284302487728752
244,0.01889456398740208
245,0.0030440402489020357
246,0.04045127627177436
247,0.04679148576717296
248,0.0068481659461383515
249,0.010018270693841203
250,0.03601312962499037
251,0.02016260588648322
252,-0.007100294943739982
253,0.0011419774002803251
254,0.02396673158372664
255,0.02333271063418607
256,0.010018270693841203
257,0.015090438290165764
258,0.04362138101947011
259,0.053765716212112125
260,0.010652291643381773
261,-0.014708546338226824
262,0.02206466873510493
263,0.0353791086754498
264,0.013822396391084624
265,0.02143064778556436
266,0.03284302487728752
267,0.015090438290165764
268,0.0055801240470643165
269,0.01889456398740208
270,0.03157498297820638
271,0.03474508772590923
272,0.016992501138787475
273,-0.0032961692465036663
274,0.025234773482807782
275,0.058203862858896116
276,0.025234773482807782
277,-0.002662148296963096
278,0.017626522088328045
279,0.013822396391084624
280,-0.013440504439145684
281,-0.008368336842821122
282,0.02143064778556436
283,0.03664715057453094
284,0.025868794432348352
285,0.016358480189246905
286,0.010652291643381773
287,0.011920333542462913
288,0.03601312962499037
289,0.042353339120388966
290,0.013822396391084624
291,0.0017759983498208953
292,0.026502815381888922
293,0.03981725532223379
294,0.02206466873510493
295,0.006214144996604887
296,0.0024100192993614655
297,0.010018270693841203
298,0.03157498297820638
299,0.04552344386809182
300,0.041719318170848396
301,0.03728117152407151
302,0.02016260588648322
303,-0.009636378741902263
304,-0.009636378741902263
305,0.02333271063418607
306,0.03347704582682809
307,0.02143064778556436
308,0.02396673158372664
309,0.01889456398740208
310,0.0017759983498208953
311,0.0068481659461383515
312,0.02016260588648322
313,0.025234773482807782
314,0.029672920129591773
315,0.02206466873510493
316,0.012554354492003483
317,0.013188375441544054
318,0.010018270693841203
319,0.015724459239706334
320,0.04045127627177436
321,0.03474508772590923
322,0.0055801240470643165
323,0.02016260588648322
324,0.04362138101947011
325,0.02079662683602379
326,0.010018270693841203
327,0.027770857280970063
328,0.02333271063418607
329,0.004312082147983176
330,0.0068481659461383515
331,0.02079662683602379
332,0.02079662683602379
333,0.01952858493694265
334,0.026502815381888922
335,0.016992501138787475
336,0.0011419774002803251
337,0.008116207845219492
338,0.0226986896846455
339,0.01952858493694265
340,0.013822396391084624
341,0.02079662683602379
342,0.027136836331429492
343,0.03411106677636866
344,0.027136836331429492
345,0.010018270693841203
346,0.02143064778556436
347,0.029672920129591773
348,0.012554354492003483
349,0.015090438290165764
350,0.042353339120388966
351,0.03854921342315265
352,-0.0013941063978819557
353,-0.005832253044658842
354,0.029038899180051203
355,0.029038899180051203
356,0.010018270693841203
357,0.02079662683602379
358,0.027770857280970063
359,0.015090438290165764
360,0.02143064778556436
361,0.0226986896846455
362,-0.0007600854483413855
363,-0.002662148296963096
364,0.02079662683602379
365,0.042353339120388966
366,0.04996159051487581
367,0.0353791086754498
368,0.015724459239706334
369,0.011286312592922343
370,0.013188375441544054
371,0.009384249744300632
372,0.006214144996604887
373,0.016992501138787475
374,0.01952858493694265
375,0.010018270693841203
376,0.017626522088328045
377,0.027770857280970063
378,0.025234773482807782
379,0.02460075253326721
380,0.02460075253326721
381,0.027770857280970063
382,0.03728117152407151
383,0.02396673158372664
384,-0.010270399691442833
385,-0.007100294943739982
386,0.02396673158372664
387,0.02079662683602379
388,0.017626522088328045
389,0.041719318170848396
390,0.03918323437269322
391,0.015724459239706334
392,0.015090438290165764
393,0.0226986896846455
394,0.02143064778556436
395,0.017626522088328045
396,0.014456417340625194
397,0.013188375441544054
398,0.011920333542462913
399,0.006214144996604887
400,0.008116207845219492
401,0.029672920129591773
402,0.04679148576717296
403,0.0353791086754498
404,0.02396673158372664
405,0.025868794432348352
406,0.013188375441544054
407,0.0030440402489020357
408,0.01826054303786151
409,0.02143064778556436
410,0.009384249744300632
411,0.01952858493694265
412,0.030940962028665808
413,0.016358480189246905
414,0.007482186895678922
415,0.01952858493694265
416,0.02206466873510493
417,0.015724459239706334
418,0.0226986896846455
419,0.027770857280970063
420,0.025868794432348352
421,0.027136836331429492
422,0.014456417340625194
423,0.007482186895678922
424,0.0226986896846455
425,0.016358480189246905
426,-0.002028127347422526
427,0.01952858493694265
428,0.04488942291855125
429,0.030306941079125238
430,0.016992501138787475
431,0.02333271063418607
432,0.009384249744300632
433,-0.0039301901960442365
434,0.02016260588648322
435,0.03347704582682809
436,0.013822396391084624
437,0.004946103097523746
438,0.016358480189246905
439,0.03284302487728752
440,0.04552344386809182
441,0.03220900392774695
442,0.004946103097523746
443,0.014456417340625194
444,0.03474508772590923
445,0.02016260588648322
446,0.003678061198442606
447,0.011920333542462913
448,0.013822396391084624
449,0.014456417340625194
450,0.027770857280970063
451,0.025868794432348352
452,0.013822396391084624
453,0.02396673158372664
454,0.03664715057453094
455,0.027770857280970063
456,0.016358480189246905
457,0.01826054303786151
458,0.017626522088328045
459,0.013822396391084624
460,0.011920333542462913
461,0.011286312592922343
462,0.015090438290165764
463,0.02079662683602379
464,0.027770857280970063
465,0.03601312962499037
466,0.030306941079125238
467,0.010652291643381773
468,0.0055801240470643165
469,0.025234773482807782
470,0.029672920129591773
471,0.008750228794760062
472,0.0055801240470643165
473,0.02016260588648322
474,0.028404878230510633
475,0.03411106677636866
476,0.030306941079125238
477,0.011286312592922343
478,0.004946103097523746
479,0.02079662683602379
480,0.02396673158372664
481,0.008116207845219492
482,0.016992501138787475
483,0.04045127627177436
484,0.0353791086754498
485,0.016358480189246905
486,0.004312082147983176
487,0.007482186895678922
488,0.025234773482807782
489,0.029672920129591773
490,0.016992501138787475
491,0.01826054303786151
492,0.027770857280970063
493,0.016992501138787475
494,0.003678061198442606
495,0.011286312592922343
496,0.01889456398740208
497,0.027136836331429492
498,0.04552344386809182
499,0.03981725532223379
500,0.006214144996604887
501,0.0011419774002803251
502,0.03220900392774695
503,0.03347704582682809
504,0.010018270693841203
505,0.015090438290165764
506,0.026502815381888922
507,0.01889456398740208
508,0.014456417340625194
509,0.010018270693841203
510,0.0068481659461383515
511,0.008750228794760062
512,0.0055801240470643165
513,0.007482186895678922
514,0.028404878230510633
515,0.03854921342315265
516,0.02460075253326721
517,0.0226986896846455
518,0.0353791086754498
519,0.02460075253326721
520,0.004312082147983176
521,0.01952858493694265
522,0.041719318170848396
523,0.03664715057453094
524,0.030940962028665808
525,0.02079662683602379
526,-0.002662148296963096
527,-0.006466273994199412
528,0.007482186895678922
529,0.013822396391084624
530,0.02016260588648322
531,0.029038899180051203
532,0.027770857280970063
533,0.025868794432348352
534,0.02079662683602379
535,0.0024100192993614655
536,0.0068481659461383515
537,0.03918323437269322
538,0.03981725532223379
539,0.010652291643381773
