,NIG019_EW 100.0(Hz) unit:(gal)
442,-5.640649787558361
443,-5.650901786459729
444,-5.647325507773205
445,-5.645179740561291
446,-5.648517600668713
447,-5.636358253134533
448,-5.631589881552502
449,-5.623245231283947
450,-5.630397788656994
451,-5.629920951498791
452,-5.633020393027111
453,-5.633258811606213
454,-5.616807929648205
455,-5.612754813803479
456,-5.621814719809338
457,-5.628728858603283
458,-5.639457694662854
459,-5.638742438925549
460,-5.641126624716565
461,-5.643272391928479
462,-5.646848670615002
463,-5.637550346030041
464,-5.643749229086682
465,-5.645179740561291
466,-5.642318717612072
467,-5.64351081050758
468,-5.650901786459729
469,-5.645656577719494
470,-5.650186530722424
471,-5.646848670615002
472,-5.63588141597633
473,-5.636119834555432
474,-5.640888206137463
475,-5.630159370077893
476,-5.6275367657077755
477,-5.632543555868908
478,-5.633735648764416
479,-5.618476859701916
480,-5.620145789755627
481,-5.618953696860119
482,-5.617284766806408
483,-5.624198905600354
484,-5.635642997397229
485,-5.627775184286877
486,-5.6237220684421505
487,-5.634212485922619
488,-5.632305137289807
489,-5.631589881552502
490,-5.624914161337658
491,-5.625867835654065
492,-5.637788764609143
493,-5.649709693564221
494,-5.645656577719494
495,-5.639934531821057
496,-5.645418159140393
497,-5.633258811606213
498,-5.631828300131604
499,-5.64041136897926
500,-5.643987647665783
501,-5.645418159140393
502,-5.644464484823986
503,-5.640888206137463
504,-5.636835090292736
505,-5.642557136191174
506,-5.638504020346447
507,-5.638265601767346
508,-5.627059928549572
509,-5.630874625815197
510,-5.631828300131604
511,-5.627775184286877
512,-5.632543555868908
513,-5.636358253134533
514,-5.642318717612072
515,-5.626583091391369
516,-5.617284766806408
517,-5.637550346030041
518,-5.633020393027111
519,-5.635642997397229
520,-5.63588141597633
521,-5.641603461874768
522,-5.641603461874768
523,-5.638265601767346
524,-5.642557136191174
525,-5.641365043295666
526,-5.644226066244885
527,-5.634927741659924
528,-5.637788764609143
529,-5.651617042197033
530,-5.653285972250744
531,-5.6313514629734005
532,-5.618000022543713
533,-5.618476859701916
534,-5.62062262691383
535,-5.6275367657077755
536,-5.633974067343518
537,-5.626583091391369
538,-5.615615836752697
539,-5.616569511069104
540,-5.615615836752697
541,-5.623483649863049
542,-5.630159370077893
543,-5.633258811606213
544,-5.638265601767346
545,-5.637550346030041
546,-5.630874625815197
547,-5.633258811606213
548,-5.650901786459729
549,-5.647802344931408
550,-5.646371833456799
551,-5.645656577719494
552,-5.64804076351051
553,-5.645418159140393
554,-5.647087089194104
555,-5.647087089194104
556,-5.631828300131604
557,-5.63588141597633
558,-5.644464484823986
559,-5.636835090292736
560,-5.634927741659924
561,-5.629444114340588
562,-5.6237220684421505
563,-5.630636207236096
564,-5.632305137289807
565,-5.633020393027111
566,-5.626344672812268
567,-5.618000022543713
568,-5.623245231283947
569,-5.640649787558361
570,-5.647087089194104
571,-5.641365043295666
572,-5.627775184286877
573,-5.629444114340588
574,-5.6313514629734005
575,-5.634450904501721
576,-5.64804076351051
577,-5.647563926352307
578,-5.6389808575046505
579,-5.642318717612072
580,-5.642557136191174
581,-5.641603461874768
582,-5.648279182089611
583,-5.640172950400158
584,-5.63731192745094
585,-5.6313514629734005
586,-5.634450904501721
587,-5.6313514629734005
588,-5.628967277182385
589,-5.627059928549572
590,-5.630397788656994
591,-5.637788764609143
592,-5.634212485922619
593,-5.638504020346447
594,-5.632543555868908
595,-5.636119834555432
