,NIG019_NS 100.0(Hz) unit:(gal)
585,3.1670098161218956
586,3.160334095907052
587,3.155804142904122
588,3.151035771322091
589,3.154135212850411
590,3.1600956773279503
591,3.1615261888025596
592,3.1674866532800987
593,3.1660561418054893
594,3.161287770223458
595,3.1505589341638878
596,3.1620030259607628
597,3.1622414445398643
598,3.159142003011544
599,3.1593804215906456
600,3.155804142904122
601,3.151989445638497
602,3.1453137254236534
603,3.153181538534005
604,3.149843678426583
605,3.1448368882654503
606,3.1517510270593956
607,3.1496052598474815
608,3.151989445638497
609,3.1467442368982628
610,3.151035771322091
611,3.157949910116036
612,3.1524662827967003
613,3.149843678426583
614,3.159618840169747
615,3.1639103745935753
616,3.1577114915369346
617,3.155804142904122
618,3.159142003011544
619,3.1584267472742393
620,3.1627182816980675
621,3.1622414445398643
622,3.162479863118966
623,3.162479863118966
624,3.1560425614832237
625,3.1505589341638878
626,3.1467442368982628
627,3.1589035844324425
628,3.158665165853341
629,3.1631951188562706
630,3.1665329789636925
631,3.165579304647286
632,3.1589035844324425
633,3.1524662827967003
634,3.1505589341638878
635,3.140068516683419
636,3.140068516683419
637,3.1467442368982628
638,3.1467442368982628
639,3.14936684126838
640,3.1479363297937706
641,3.140545353841622
642,3.1567578172205284
643,3.1555657243250206
644,3.152704701375802
645,3.156519398641427
646,3.1555657243250206
647,3.155804142904122
648,3.153181538534005
649,3.1534199571131065
650,3.1529431199549034
651,3.1615261888025596
652,3.1577114915369346
653,3.160810933065255
654,3.1410221909998253
655,3.1429295396326378
656,3.1517510270593956
657,3.146028981160958
658,3.1522278642175987
659,3.158665165853341
660,3.1522278642175987
661,3.138876423787911
662,3.146028981160958
663,3.1658177232263878
664,3.170109257650216
665,3.1674866532800987
666,3.151989445638497
667,3.1393532609461143
668,3.143406376790841
669,3.1546120500086143
670,3.151512608480294
671,3.1598572587488487
672,3.148890004110177
673,3.148174748372872
674,3.145552144002755
675,3.1560425614832237
676,3.165579304647286
677,3.1686787461756065
678,3.1534199571131065
679,3.1584267472742393
680,3.1610493516443565
681,3.1600956773279503
682,3.1572346543787315
683,3.166294560384591
684,3.1584267472742393
685,3.1424527024744346
686,3.146028981160958
687,3.1484131669519737
688,3.1445984696863487
689,3.1353001451013878
690,3.1441216325281456
691,3.151989445638497
692,3.1505589341638878
693,3.1445984696863487
694,3.1560425614832237
695,3.1543736314295128
696,3.150320515584786
697,3.156519398641427
698,3.1560425614832237
699,3.151035771322091
700,3.153658375692208
701,3.1546120500086143
702,3.1457905625818565
703,3.1517510270593956
704,3.1615261888025596
705,3.162956700277169
706,3.1631951188562706
707,3.161764607381661
708,3.1691555833338096
709,3.1670098161218956
710,3.162479863118966
711,3.155327305745919
712,3.1562809800623253
713,3.143883213949044
714,3.145552144002755
715,3.155327305745919
716,3.156519398641427
717,3.156519398641427
718,3.1529431199549034
719,3.1507973527429893
720,3.1496052598474815
721,3.14173744673713
722,3.1376843308924034
723,3.1398300981043175
724,3.138399586629708
725,3.1343464707849815
726,3.1431679582117393
727,3.1484131669519737
728,3.1467442368982628
729,3.1534199571131065
730,3.149843678426583
731,3.155327305745919
732,3.164148793172677
733,3.1691555833338096
734,3.171062931966622
735,3.1610493516443565
736,3.159142003011544
737,3.158665165853341
738,3.1560425614832237
739,3.1593804215906456
740,3.1522278642175987
741,3.149843678426583
742,3.1496052598474815
743,3.1496052598474815
744,3.1496052598474815
745,3.1431679582117393
746,3.1338696336267784
747,3.1424527024744346
748,3.147697911214669
749,3.148174748372872
750,3.1529431199549034
751,3.1562809800623253
752,3.157949910116036
753,3.163433537435372
754,3.1622414445398643
755,3.1615261888025596
756,3.153658375692208
757,3.1479363297937706
758,3.151035771322091
759,3.1496052598474815
760,3.1491284226892784
761,3.147221074056466
762,3.1453137254236534
763,3.1479363297937706
764,3.1534199571131065
765,3.152704701375802
766,3.1512741899011925
767,3.1517510270593956
768,3.1572346543787315
769,3.1517510270593956
770,3.149843678426583
771,3.1517510270593956
772,3.1543736314295128
773,3.1560425614832237
774,3.156519398641427
775,3.1567578172205284
776,3.155804142904122
777,3.1529431199549034
778,3.152704701375802
779,3.147221074056466
780,3.1529431199549034
781,3.154850468587716
782,3.1589035844324425
783,3.1581883286951378
784,3.1696324204920128
785,3.1627182816980675
786,3.1605725144861534
787,3.156519398641427
788,3.1600956773279503
789,3.1512741899011925
790,3.14173744673713
791,3.146505818319161
792,3.151512608480294
793,3.1474594926355675
794,3.1398300981043175
795,3.1436447953699425
796,3.1496052598474815
797,3.1560425614832237
798,3.1555657243250206
799,3.154850468587716
800,3.1522278642175987
801,3.1555657243250206
802,3.1546120500086143
803,3.1491284226892784
804,3.157473072957833
805,3.152704701375802
806,3.1610493516443565
807,3.154850468587716
808,3.150320515584786
809,3.147221074056466
810,3.1517510270593956
811,3.150320515584786
812,3.160334095907052
813,3.1622414445398643
814,3.1505589341638878
815,3.159142003011544
816,3.170109257650216
817,3.168440327596505
818,3.1600956773279503
819,3.1436447953699425
820,3.1457905625818565
821,3.145552144002755
822,3.137445912313302
823,3.135776982259591
824,3.1310086106775596
825,3.1376843308924034
826,3.1529431199549034
827,3.1507973527429893
828,3.1474594926355675
829,3.149843678426583
830,3.148174748372872
831,3.1729702805994346
832,3.1758313035486534
833,3.16462563033088
834,3.169394001912911
835,3.1522278642175987
836,3.160334095907052
837,3.1584267472742393
838,3.155327305745919
839,3.1600956773279503
840,3.157473072957833
841,3.160810933065255
842,3.1484131669519737
843,3.1403069352625206
844,3.1376843308924034
845,3.1522278642175987
846,3.1500820970056846
847,3.1581883286951378
848,3.1491284226892784
849,3.1469826554773643
850,3.153181538534005
851,3.157473072957833
852,3.1605725144861534
853,3.150320515584786
854,3.154135212850411
855,3.159618840169747
856,3.1550888871668175
857,3.1572346543787315
858,3.153658375692208
859,3.153658375692208
860,3.1581883286951378
861,3.1522278642175987
862,3.1410221909998253
863,3.1512741899011925
864,3.1670098161218956
865,3.167963490438302
866,3.157473072957833
867,3.1682019090174034
868,3.162479863118966
869,3.153181538534005
870,3.1593804215906456
871,3.1577114915369346
872,3.156519398641427
873,3.154135212850411
874,3.1562809800623253
875,3.1429295396326378
876,3.1369690751550987
877,3.1386380052088096
878,3.142214283895333
879,3.1393532609461143
880,3.1445984696863487
881,3.152704701375802
882,3.155327305745919
883,3.1581883286951378
884,3.1577114915369346
885,3.162956700277169
886,3.1703476762293175
887,3.1682019090174034
888,3.1784539079187706
889,3.1696324204920128
890,3.160810933065255
891,3.158665165853341
892,3.1529431199549034
893,3.1567578172205284
894,3.145075306844552
895,3.150320515584786
896,3.1410221909998253
897,3.1429295396326378
898,3.140545353841622
899,3.1410221909998253
900,3.144360051107247
901,3.143406376790841
902,3.1462673997400596
903,3.147221074056466
904,3.1517510270593956
905,3.164148793172677
906,3.168917164754708
